stepSize 	 colpoints 	 maxIter 	 errW 	 errStr 	 errorL2 	 errT 	 fctEval 	 compTime 
0.125000 	 5 	 10 	 1.692597e-07 	 4.696295e-07 	 4.166291e-06 	 3.904989e-08 	 1364 	 1.192083e+01 
0.062500 	 5 	 10 	 3.499399e-09 	 3.627897e-08 	 3.505280e-07 	 2.278229e-09 	 2248 	 1.985461e+01 
0.031250 	 5 	 10 	 2.176545e-10 	 3.314575e-09 	 1.671457e-08 	 1.541606e-10 	 4016 	 3.612298e+01 
0.015625 	 5 	 10 	 2.167949e-11 	 2.641615e-10 	 1.112368e-09 	 4.637402e-13 	 7232 	 6.546061e+01 
