stepSize 	 colpoints 	 maxIter 	 errW 	 errStr 	 errorL2 	 errT 	 fctEval 	 compTime 
0.125000 	 5 	 10 	 4.153079e-07 	 6.841126e-07 	 8.047627e-06 	 3.611875e-07 	 1428 	 1.140542e+01 
0.062500 	 5 	 10 	 3.741050e-09 	 3.629597e-08 	 3.278977e-07 	 1.992859e-09 	 2416 	 2.127305e+01 
0.031250 	 5 	 10 	 2.177758e-10 	 3.285019e-09 	 1.653319e-08 	 1.334083e-10 	 4292 	 3.952903e+01 
0.015625 	 5 	 10 	 2.125458e-11 	 2.637579e-10 	 1.107959e-09 	 6.141088e-12 	 7864 	 7.178355e+01 
