stepSize 	 colpoints 	 maxIter 	 errW 	 errStr 	 errorL2 	 errT 	 fctEval 	 compTime 
0.125000 	 5 	 10 	 2.590434e-07 	 4.972291e-07 	 5.528110e-06 	 2.167736e-07 	 1364 	 1.071364e+01 
0.062500 	 5 	 10 	 4.419372e-09 	 3.499509e-08 	 3.136081e-07 	 4.419372e-09 	 2308 	 1.925820e+01 
0.031250 	 5 	 10 	 2.176271e-10 	 3.307570e-09 	 1.664749e-08 	 1.465318e-10 	 4036 	 3.575584e+01 
0.015625 	 5 	 10 	 2.119227e-11 	 2.645899e-10 	 1.111999e-09 	 6.837420e-12 	 7352 	 7.047238e+01 
