stepSize 	 colpoints 	 maxIter 	 errW 	 errStr 	 errorL2 	 errT 	 fctEval 	 compTime 
0.125000 	 3 	 100 	 4.556455e-04 	 1.039632e-03 	 2.286264e-02 	 4.556455e-04 	 716 	 6.981772e+01 
0.062500 	 3 	 100 	 4.787798e-05 	 1.420450e-04 	 3.242797e-04 	 3.498000e-05 	 1352 	 1.143438e+02 
0.031250 	 3 	 100 	 1.213725e-05 	 4.183183e-05 	 8.447838e-05 	 8.519722e-06 	 2214 	 1.995072e+02 
0.015625 	 3 	 100 	 3.104979e-06 	 1.174121e-05 	 2.184152e-05 	 2.186787e-06 	 3908 	 3.599833e+02 
0.007812 	 3 	 100 	 7.665016e-07 	 3.204674e-06 	 5.585438e-06 	 5.564447e-07 	 7226 	 6.635910e+02 
