stepSize 	 colpoints 	 maxIter 	 errW 	 errStr 	 errorL2 	 errT 	 fctEval 	 compTime 
0.500000 	 3 	 100 	 0 	 NaN 	 NaN 	 NaN 	 684 	 4.662876e+01 
0.250000 	 3 	 100 	 7.215667e-04 	 NaN 	 NaN 	 NaN 	 638 	 5.185979e+01 
0.125000 	 3 	 100 	 3.969225e-04 	 9.814897e-04 	 2.172123e-02 	 3.969225e-04 	 916 	 7.314955e+01 
0.062500 	 3 	 100 	 4.666285e-05 	 1.410626e-04 	 3.257659e-04 	 3.432034e-05 	 1322 	 1.168574e+02 
0.031250 	 3 	 100 	 1.227583e-05 	 4.163480e-05 	 8.438589e-05 	 8.837251e-06 	 2444 	 2.058917e+02 
