stepSize 	 colpoints 	 maxIter 	 errW 	 errStr 	 errorL2 	 errT 	 fctEval 	 compTime 
0.125000 	 5 	 10 	 1.255397e-05 	 1.069698e-04 	 3.618748e-04 	 1.255397e-05 	 1604 	 2.473124e+01 
0.062500 	 5 	 10 	 1.158163e-06 	 3.948446e-05 	 7.861413e-05 	 6.671575e-07 	 2948 	 4.503473e+01 
0.031250 	 5 	 10 	 1.396071e-06 	 1.557620e-05 	 2.712635e-05 	 4.163030e-07 	 5356 	 8.583109e+01 
0.015625 	 5 	 10 	 1.050907e-06 	 6.677770e-06 	 1.084587e-05 	 4.678778e-07 	 9592 	 1.518564e+02 
