stepSize 	 colpoints 	 maxIter 	 errW 	 errStr 	 errorL2 	 errT 	 fctEval 	 compTime 
0.500000 	 4 	 10 	 4.091273e-04 	 4.257712e-04 	 8.292463e-03 	 4.091273e-04 	 320 	 2.808112e+00 
0.250000 	 4 	 10 	 3.865873e-05 	 4.259936e-05 	 5.329754e-04 	 3.865873e-05 	 595 	 5.037641e+00 
0.125000 	 4 	 10 	 3.571689e-06 	 4.603573e-06 	 3.624915e-05 	 3.571689e-06 	 965 	 8.974930e+00 
0.062500 	 4 	 10 	 4.522694e-07 	 6.453629e-07 	 4.578945e-06 	 4.522694e-07 	 1780 	 1.626557e+01 
0.031250 	 4 	 10 	 5.580861e-08 	 9.189122e-08 	 3.912866e-07 	 5.580861e-08 	 3260 	 2.952411e+01 
0.015625 	 4 	 10 	 6.864704e-09 	 1.265391e-08 	 4.951749e-08 	 6.864704e-09 	 6250 	 5.396011e+01 
0.007812 	 4 	 10 	 8.192320e-10 	 1.765253e-09 	 6.060425e-09 	 8.192320e-10 	 11480 	 1.000815e+02 
0.003906 	 4 	 10 	 7.187295e-11 	 2.364173e-10 	 7.670795e-10 	 7.187295e-11 	 20770 	 1.870747e+02 
0.001953 	 4 	 10 	 2.292078e-11 	 4.201036e-11 	 7.826482e-11 	 2.292078e-11 	 39185 	 3.522664e+02 
